,adult,gender,id,known_for_department,name,original_name,popularity,profile_path,cast_id,character,credit_id,order
0,False,2.0,579974,Acting,N. T. Rama Rao Jr.,N. T. Rama Rao Jr.,13.41,/kMz1SZFt7ynfL8kxs7mZZHkSzkc.jpg,1.0,Komaram Bheem,5c57c795c3a368478ca254ea,0.0
1,False,2.0,579974,Acting,Ram Charan,Ram Charan,15.84,/mNQA0qYtLeemo7mljd9RlG9jUMR.jpg,2.0,Alluri Sitarama Raju,5c57c7a192514151a965696f,1.0
2,False,2.0,579974,Acting,Ajay Devgn,Ajay Devgn,14.079,/vnHQQFzTjJ0sv14DGMIoKa3qTxN.jpg,12.0,Venkata Rama Raju,5c8f45940e0a261304586785,2.0
3,False,1.0,579974,Acting,Alia Bhatt,Alia Bhatt,10.69,/RBnTJPegPFLBS4VPsNLbf6iAoD.jpg,11.0,Sita,5c8f454fc3a36861194ddbeb,3.0
4,False,1.0,579974,Acting,Shriya Saran,Shriya Saran,7.211,/ioOgKBSCJhOdKoZpg86ld7zANbf.jpg,38.0,Sarojini,61051102fdc14600731f51cb,4.0
5,False,2.0,579974,Acting,Samuthirakani,Samuthirakani,6.982,/hicCPOdDfSRCEYkeb9g53FOY19A.jpg,13.0,Venkateshwarulu,5c96684dc3a368419a39083b,5.0
6,False,2.0,579974,Acting,Ray Stevenson,Ray Stevenson,39.761,/msafbswGI6uisRuNvQ8a1wMF5Ca.jpg,25.0,Scott Buxton,5dd546c22634620012b777b7,6.0
7,False,1.0,579974,Acting,Alison Doody,Alison Doody,11.621,/k8muOVU3HAT5eyAape8DSdUK8Yu.jpg,24.0,Cassandra Buxton,5dd535772634620016b76e31,7.0
8,False,1.0,579974,Acting,Olivia Morris,Olivia Morris,12.091,/iAzUTXzFWwEkRx6Ygudqnx4DmtW.jpg,26.0,Jennifer 'Jenny' Buxton,5dd54910d55c3d001431f847,8.0
9,False,2.0,579974,Acting,Edward Sonnenblick,Edward Sonnenblick,1.814,/8RAG0dhQp1L50zMpP0sh1rLP3tf.jpg,22.0,Edwards,5da5ef4a944a570019212170,9.0
10,False,2.0,579974,Acting,Makrand Deshpande,Makrand Deshpande,6.88,/aGA9mjohVWWTeTmutXikSSCYq9x.jpg,50.0,Peddanna,613776b86e0d7200624e48fd,10.0
11,False,2.0,579974,Acting,Chatrapathi Sekhar,Chatrapathi Sekhar,2.383,/sLP6V1McdVPwp3smHzEzuXs8ubM.jpg,29.0,Jangu,6062d1321130bd0029aba8eb,11.0
